dataset,doi,journal,search_term,title,url
dataset-244,10.7591/9781501741708-005,,New York Unemployment Insurance,III. A NATION AND THE STATES,https://doi.org/10.7591/9781501741708-005
dataset-244,10.6092/issn.2421-2695/9629,Labour & Law Issues,New York Unemployment Insurance,"La legge portoghese sul trasporto passeggeri tramite piattaforma elettronica: soggetti, rapporti e presunzioni",https://doi.org/10.6092/issn.2421-2695/9629
dataset-244,10.1515/lehr-2019-2003,Law & Ethics of Human Rights,New York Unemployment Insurance,Silos and First Movers in the Sharing Economy Debates,https://doi.org/10.1515/lehr-2019-2003
dataset-244,10.7591/9780801470752-012,,New York Unemployment Insurance,10. Creating “Open Space” to Promote Social Justice: The MinKwon Center for Community Action,https://doi.org/10.7591/9780801470752-012
dataset-244,10.17000/kspr.25.4.201812.199,Korea Social Policy Review,New York Unemployment Insurance,"Economic Activities in Digital Platforms: Types, Natures, Risks, Policy Suggestions",https://doi.org/10.17000/kspr.25.4.201812.199
dataset-244,10.1080/05775132.2018.1477475,Challenge,New York Unemployment Insurance,Benefits for Gig Workers,https://doi.org/10.1080/05775132.2018.1477475
dataset-244,10.2139/ssrn.3173265,SSRN Electronic Journal,New York Unemployment Insurance,Silos and First Movers in the Sharing Economy Debates,https://doi.org/10.2139/ssrn.3173265
dataset-244,10.2139/ssrn.3285591,SSRN Electronic Journal,New York Unemployment Insurance,Tax Law's Workplace Shift,https://doi.org/10.2139/ssrn.3285591
dataset-244,10.5195/tlp.2015.167,Pittsburgh Journal of Technology Law and Policy,New York Unemployment Insurance,The Chilling Realities of the Telecommuting Tax: Adapting Twentieth Century Policies for Twenty-First Century Technologies,https://doi.org/10.5195/tlp.2015.167
dataset-244,10.1080/19345747.2012.755592,Journal of Research on Educational Effectiveness,New York Unemployment Insurance,Two-Year Impacts of a Comprehensive Family Financial Rewards Program on Children's Academic Outcomes: Moderation by Likelihood of Earning Rewards,https://doi.org/10.1080/19345747.2012.755592
dataset-244,10.1002/9781119201090.ch5,,New York Unemployment Insurance,Business Processes … Where Business and Technology Meet,https://doi.org/10.1002/9781119201090.ch5
dataset-244,10.2139/ssrn.2028161,SSRN Electronic Journal,New York Unemployment Insurance,Every Move that She Makes: Copyright Protection for Stage Directions & the Fictional Character Standard,https://doi.org/10.2139/ssrn.2028161
dataset-244,10.2139/ssrn.673983,SSRN Electronic Journal,New York Unemployment Insurance,When Did the Switch in Time Actually Occur?: Re-Discovering the Supreme Court's Forgotten Decisions of 1936-37,https://doi.org/10.2139/ssrn.673983
dataset-244,10.2139/ssrn.588942,SSRN Electronic Journal,New York Unemployment Insurance,Moving to Opportunity and Tranquility: Neighborhood Effects on Adult Economic Self-Sufficiency and Health from a Randomized Housing Voucher Experiment,https://doi.org/10.2139/ssrn.588942
dataset-244,10.1017/s0898588x00000444,Studies in American Political Development,New York Unemployment Insurance,The Political Origins of Unemployment Insurance in Five American States,https://doi.org/10.1017/s0898588x00000444
dataset-244,10.1017/s0898588x00001747,Studies in American Political Development,New York Unemployment Insurance,The Political Origins of Unemployment Insurance in Five American States,https://doi.org/10.1017/s0898588x00001747
dataset-244,10.4159/9780674975088-007,,New York Unemployment Insurance,"Notable American Women 1607�1950, Volume: Volume IV",https://doi.org/10.4159/9780674975088-007
dataset-244,10.1177/001088047101200302,Cornell Hospitality Quarterly,New York Unemployment Insurance,News and Views,https://doi.org/10.1177/001088047101200302
dataset-244,10.1080/00236566908584067,Labor History,New York Unemployment Insurance,The big switch: Justice Roberts and the minimum‐wage cases,https://doi.org/10.1080/00236566908584067
dataset-244,10.1080/00236566808584063,Labor History,New York Unemployment Insurance,Welfare history of the I.L.S.W.U.,https://doi.org/10.1080/00236566808584063
dataset-244,10.1080/00236566808584063,Labor History,New York Unemployment Insurance,Welfare history of the I.L.S.W.U.,https://doi.org/10.1080/00236566808584063
